Time	Distance	Power
37.82	1289.42	-51.080064
37.87	1290.49	-32.67968
37.92	1291.58	-34.446184
37.97	1292.62	-13.812144
38.02	1293.72	-3.952
38.07	1294.79	-20.283696
38.12	1295.86	-29.157552
38.17	1296.86	-58.91824
38.22	1297.87	-43.760992
38.27	1298.94	-36.331808
38.32	1300.01	-26.209792
38.369	1301.05	-25.75356
38.419	1301.96	-15.15976
38.469	1302.97	-24.28064
38.519	1303.94	-16.899008
38.569	1304.89	-24.137904
38.619	1305.93	-18.992232
38.669	1306.84	-13.1264
38.719	1307.76	-13.659984
38.769	1308.67	-18.233352
38.819	1309.62	-20.078176
38.869	1310.54	3.099536
38.919	1311.51	17.893776
38.969	1312.43	55.600864
39.019	1313.44	66.548944
39.069	1314.41	74.035544
39.119	1315.39	135.579648
39.169	1316.4	131.13724
39.219	1317.46	164.736
39.269	1318.53	176.682024
39.319	1319.54	238.381872
39.369	1320.67	190.034888
39.419	1321.71	295.876384
39.469	1322.84	251.773208
39.519	1323.96	152.501112
39.569	1325.09	281.942144
39.619	1326.19	230.974432
39.669	1327.35	187.084968
39.719	1328.54	303.428416
39.769	1329.67	279.834168
39.819	1330.86	242.416872
39.869	1332.02	183.06436
39.919	1333.21	290.225936
39.969	1334.43	189.756448
40.019	1335.65	227.778408
40.069	1336.9	210.37632
40.119	1338.16	189.670768
40.169	1339.44	200.75328
40.219	1340.69	234.156888
40.268	1341.97	229.417344
40.318	1343.31	166.51152
40.368	1344.63	200.981088
40.418	1346	196.704712
40.468	1347.37	251.04024
40.518	1348.78	256.193504
40.568	1350.15	179.934872
40.618	1351.52	244.948704
40.668	1352.93	181.944
40.718	1354.39	34.119984
40.768	1355.76	-27.933696
40.818	1357.17	-74.382232
40.868	1358.6	-97.54416
40.918	1359.98	-128.302272
40.968	1361.35	-177.407776
41.018	1362.66	-156.104376
41.068	1363.94	-223.08448
41.118	1365.19	-114.0258
41.168	1366.41	-173.41056
41.218	1367.64	-153.47216
41.268	1368.83	-104.75664
41.318	1369.99	-140.773472
41.368	1371.18	-99.608352
41.418	1372.3	-84.167136
41.468	1373.46	-87.91176
41.518	1374.56	-55.48512
41.568	1375.69	-69.67296
41.618	1376.73	-35.819264
41.668	1377.83	-39.1104
41.718	1378.9	-19.28264
41.768	1379.96	-6.952
41.818	1381.06	12.095856
41.868	1382.1	20.80716
41.918	1383.2	25.211544
41.968	1384.24	24.173728
42.018	1385.37	42.492952
42.068	1386.4	49.569
42.117	1387.5	48.172368
42.167	1388.57	6.88064
42.217	1389.64	-42.9696
42.267	1390.65	-34.2232
42.317	1391.68	-33.29768
42.367	1392.69	-26.811216
42.417	1393.7	-12.744
42.467	1394.74	6.4656
42.517	1395.74	12.021192
42.567	1396.75	7.94368
42.617	1397.79	8.686
42.667	1398.79	17.428368
42.717	1399.8	11.891968
42.767	1400.75	32.263568
42.817	1401.75	55.948464
42.867	1402.76	85.48584
42.917	1403.83	136.49532
42.967	1404.9	109.384592
43.017	1405.91	177.490768
43.067	1406.94	144.538872
43.117	1407.98	152.86348
43.167	1409.08	138.23524
43.217	1410.15	140.106912
43.267	1411.22	227.659184
43.317	1412.31	140.510016
43.367	1413.44	159.192504
43.417	1414.57	222.61616
43.467	1415.73	225.331008
43.517	1416.86	264.029976
43.567	1418.05	253.59784
43.617	1419.27	182.355712
43.667	1420.49	247.336928
43.717	1421.71	204.933504
43.767	1422.93	274.817088
43.817	1424.22	180.92832
43.867	1425.47	212.561448
43.917	1426.75	291.55128
43.967	1428.03	249.16944
44.016	1429.37	174.34824
44.066	1430.66	311.1304
44.116	1432	165.322416
44.166	1433.4	259.850136
44.216	1434.74	202.079
44.266	1436.12	295.74996
44.316	1437.49	174.508992
44.366	1438.86	321.59992
44.416	1440.21	305.402832
44.466	1441.64	307.03392
44.516	1443.05	201.981
44.566	1444.45	185.85932
44.616	1445.94	192.276392
44.666	1447.35	242.4456
44.716	1448.84	208.666272
44.766	1450.37	216.56008
44.816	1451.9	163.178024
44.866	1453.42	321.56808
44.926	1454.89	237.550824
44.976	1456.32	198.775872
45.026	1458	305.404344
45.076	1459.53	206.851072
45.126	1461.05	176.144
45.176	1462.73	211.681328
45.226	1464.29	316.709344
45.276	1465.93	250.51348
45.326	1467.55	318.4308
45.376	1469.23	193.91904
45.426	1470.88	243.971304
45.476	1472.56	179.34492
45.526	1474.24	210.11744
45.576	1475.97	179.401752
45.626	1477.65	214.91736
45.676	1479.39	318.309448
45.726	1481.13	218.1384
45.776	1482.87	250.49364
45.826	1484.61	248.834432
45.875	1486.38	189.035496
45.925	1488.18	290.69568
45.975	1489.98	300.378848
46.025	1491.81	309.27092
46.075	1493.61	269.974656
46.125	1495.48	289.2672
46.175	1497.31	261.75192
46.225	1499.2	321.6896
46.275	1501.03	263.891744
46.325	1502.95	178.182528
46.375	1504.84	305.1932
46.425	1506.71	278.401288
46.475	1508.63	247.676352
46.525	1510.55	232.84448
46.575	1512.47	200.761
46.625	1514.43	276.738368
46.675	1516.41	318.513888
46.725	1518.33	287.368032
46.775	1520.32	321.2512
46.825	1522.33	299.22936
46.875	1524.35	244.475584
46.925	1526.3	247.186016
46.975	1528.34	311.90544
47.025	1530.39	194.660928
47.075	1532.4	296.97532
47.125	1534.45	218.654272
47.175	1536.49	260.455824
47.225	1538.51	244.518144
47.275	1540.64	208.94952
47.325	1542.72	311.728512
47.375	1544.82	274.775112
47.425	1546.93	210.911048
47.475	1549	249.22388
47.525	1551.14	205.278208
47.575	1553.25	313.40244
47.625	1555.41	300.71844
47.675	1557.58	193.0944
47.724	1559.72	234.5344
47.774	1561.85	292.405568
47.824	1564.02	299.275488
47.874	1566.19	242.60264
47.924	1568.38	162.287608
47.974	1570.58	236.504184
48.024	1572.78	319.668824
48.074	1574.98	179.889024
48.124	1577.23	257.37216
48.174	1579.46	228.316688
48.224	1581.72	250.528512
48.274	1583.98	244.07552
48.324	1586.18	250.70448
48.374	1588.46	160.5248
48.424	1590.69	276.401248
48.474	1592.95	255.32856
48.524	1595.27	176.51392
48.574	1597.53	298.716
48.624	1599.85	279.232416
48.674	1602.11	167.029824
48.724	1604.46	277.598568
48.774	1606.78	220.105296
48.824	1609.09	279.236592
48.874	1611.44	255.387072
48.924	1613.79	277.670536
48.974	1616.11	181.476192
49.024	1618.49	190.986432
49.074	1620.9	310.055272
49.124	1623.29	170.068096
49.174	1625.67	223.227328
49.224	1628.08	199.070592
49.274	1630.46	248.89156
49.324	1632.87	190.986432
49.374	1635.28	313.1778
49.424	1637.72	173.314944
49.474	1640.16	200.707
49.524	1642.6	316.214944
49.574	1645.04	224.78512
49.623	1647.49	308.149248
49.673	1649.93	189.535376
49.723	1652.37	287.34512
49.773	1654.81	276.232
49.823	1657.31	187.80372
49.873	1659.82	253.753056
49.923	1662.29	174.9886
49.973	1664.76	248.95232
50.023	1667.26	253.660784
50.073	1669.76	216.80784
50.123	1672.27	224.79632
50.173	1674.74	261.73888
50.223	1677.24	269.758272
50.273	1679.74	167.04064
50.323	1682.31	239.171224
50.373	1684.87	223.247344
50.423	1687.37	269.715264
50.473	1689.94	197.5626
50.523	1692.5	316.337872
50.573	1695	208.74776
50.623	1697.57	186.275584
50.673	1700.07	237.714048
50.723	1702.6	269.704512
